公司名稱,職位名稱,工作待遇,工作地點,工作經歷,科系要求,語言條件,linux,MySQL,Java,Python,AWS,LAN,MS SQL,C#,PHP,Github,JavaScript
瑄品股份有限公司,knowledge Graph KG 工程師,"月薪65,000~90,000元",台北市信義區信義路五段5號7樓7F02室,不拘,[],0,0,0,0,0,0,0,0,0,0,0,0
瑄品股份有限公司,專案助理/ 行政助理 / 業務助理 / AI 助理,"月薪24,000~26,000元",台北市信義區信義路五段5號7樓7F02室,不拘,[],0,0,0,0,0,0,0,0,0,0,0,0
瑄品股份有限公司,資深 軟體/ICT 專案管理 PM,"月薪45,000元以上",台北市信義區信義路五段5號7樓7F02室,3年以上,[],0,0,0,0,0,0,0,0,0,0,0,0
瑄品股份有限公司,電腦視覺人工智慧工程師 Computer vision engineer,待遇面議,台北市信義區信義路五段5號7樓7F02室,2年以上,[],0,0,0,0,0,0,0,0,0,0,0,0
當若科技藝術股份有限公司,後端工程師,待遇面議,台北市中山區松江路156巷9號1樓,不拘,['資訊工程相關'],0,0,0,0,1,0,0,0,1,1,0,1
義隆電子股份有限公司,《AG-01》演算法工程師,"月薪40,000元以上",新竹縣寶山鄉創新一路12號(300),不拘,"['電機電子工程相關', '資訊工程相關', '應用數學相關']",['英文'],0,0,0,0,0,0,0,0,0,0,0
義隆電子股份有限公司,《SD-04》系統應用工程師,待遇面議,新竹縣寶山鄉創新一路12號(300),不拘,[],0,0,0,0,1,0,0,0,0,0,0,0
肯狄科研有限公司,網站研發工程師,"月薪50,000~70,000元",台北市信義區松仁路97號17樓,3年以上,['數學及電算機科學學科類'],['英文'],0,0,0,0,0,0,0,0,0,1,1
隆達電子股份有限公司,暑期實習_AI專案助理,"月薪24,000~32,000元",新竹市科學工業園區工業東三路3號,不拘,"['資訊工程相關', '資訊管理相關', '電機電子工程相關']",['英文'],0,0,0,0,0,0,0,0,0,0,0
雲端互動股份有限公司,Ruby on Rails工程師(全端),待遇面議,台北市大安區,3年以上,[],['英文'],0,0,0,0,0,0,0,0,0,0,0
鴻海精密工業股份有限公司,AI & Heterogeneous Computing Engineer,待遇面議,台北市內湖區基湖路32號9樓,不拘,"['資訊工程相關', '電機電子工程相關', '通信學類']",['英文'],0,0,0,1,0,0,0,0,0,0,0
鴻海精密工業股份有限公司,AI工程師,待遇面議,台北市內湖區基湖路32號9樓,不拘,"['資訊工程相關', '數學及電算機科學學科類']",['英文'],0,0,0,1,0,0,0,0,0,0,0
